"cluster","group","n_cells","resolution","role","field","within_cluster_fraction"
"1","CNP0000460_P03T",1,0.2,"specimen_orig_ident","orig.ident",0.000278318953520735
"2","CNP0000460_P03T",1,0.2,"specimen_orig_ident","orig.ident",0.000417188151856487
"3","CNP0000460_P03T",0,0.2,"specimen_orig_ident","orig.ident",0
"4","CNP0000460_P03T",1,0.2,"specimen_orig_ident","orig.ident",0.000796812749003984
"5","CNP0000460_P03T",0,0.2,"specimen_orig_ident","orig.ident",0
"6","CNP0000460_P03T",2,0.2,"specimen_orig_ident","orig.ident",0.0034965034965035
"7","CNP0000460_P03T",10,0.2,"specimen_orig_ident","orig.ident",0.0221238938053097
"8","CNP0000460_P03T",0,0.2,"specimen_orig_ident","orig.ident",0
"9","CNP0000460_P03T",0,0.2,"specimen_orig_ident","orig.ident",0
"0","CNP0000460_P04T",3,0.2,"specimen_orig_ident","orig.ident",0.000523834468308015
"1","CNP0000460_P04T",31,0.2,"specimen_orig_ident","orig.ident",0.00862788755914278
"2","CNP0000460_P04T",12,0.2,"specimen_orig_ident","orig.ident",0.00500625782227785
"3","CNP0000460_P04T",0,0.2,"specimen_orig_ident","orig.ident",0
"4","CNP0000460_P04T",7,0.2,"specimen_orig_ident","orig.ident",0.00557768924302789
"5","CNP0000460_P04T",3,0.2,"specimen_orig_ident","orig.ident",0.00337457817772778
"6","CNP0000460_P04T",37,0.2,"specimen_orig_ident","orig.ident",0.0646853146853147
"7","CNP0000460_P04T",0,0.2,"specimen_orig_ident","orig.ident",0
"8","CNP0000460_P04T",1,0.2,"specimen_orig_ident","orig.ident",0.00367647058823529
"9","CNP0000460_P04T",1,0.2,"specimen_orig_ident","orig.ident",0.00454545454545455
"0","CNP0000460_P05N",2,0.2,"specimen_orig_ident","orig.ident",0.00034922297887201
"1","CNP0000460_P05N",0,0.2,"specimen_orig_ident","orig.ident",0
"2","CNP0000460_P05N",0,0.2,"specimen_orig_ident","orig.ident",0
"3","CNP0000460_P05N",0,0.2,"specimen_orig_ident","orig.ident",0
"4","CNP0000460_P05N",0,0.2,"specimen_orig_ident","orig.ident",0
"5","CNP0000460_P05N",0,0.2,"specimen_orig_ident","orig.ident",0
"6","CNP0000460_P05N",0,0.2,"specimen_orig_ident","orig.ident",0
"7","CNP0000460_P05N",1,0.2,"specimen_orig_ident","orig.ident",0.00221238938053097
"8","CNP0000460_P05N",0,0.2,"specimen_orig_ident","orig.ident",0
"9","CNP0000460_P05N",0,0.2,"specimen_orig_ident","orig.ident",0
"0","CNP0000460_P05T",2,0.2,"specimen_orig_ident","orig.ident",0.00034922297887201
"1","CNP0000460_P05T",58,0.2,"specimen_orig_ident","orig.ident",0.0161424993042026
"2","CNP0000460_P05T",35,0.2,"specimen_orig_ident","orig.ident",0.0146015853149771
"3","CNP0000460_P05T",0,0.2,"specimen_orig_ident","orig.ident",0
"4","CNP0000460_P05T",8,0.2,"specimen_orig_ident","orig.ident",0.00637450199203187
"5","CNP0000460_P05T",2,0.2,"specimen_orig_ident","orig.ident",0.00224971878515186
"6","CNP0000460_P05T",23,0.2,"specimen_orig_ident","orig.ident",0.0402097902097902
"7","CNP0000460_P05T",0,0.2,"specimen_orig_ident","orig.ident",0
"8","CNP0000460_P05T",1,0.2,"specimen_orig_ident","orig.ident",0.00367647058823529
"9","CNP0000460_P05T",0,0.2,"specimen_orig_ident","orig.ident",0
"0","CNP0000460_P06T",10,0.2,"specimen_orig_ident","orig.ident",0.00174611489436005
"1","CNP0000460_P06T",41,0.2,"specimen_orig_ident","orig.ident",0.0114110770943501
"2","CNP0000460_P06T",38,0.2,"specimen_orig_ident","orig.ident",0.0158531497705465
"3","CNP0000460_P06T",0,0.2,"specimen_orig_ident","orig.ident",0
"4","CNP0000460_P06T",13,0.2,"specimen_orig_ident","orig.ident",0.0103585657370518
"5","CNP0000460_P06T",22,0.2,"specimen_orig_ident","orig.ident",0.0247469066366704
"6","CNP0000460_P06T",25,0.2,"specimen_orig_ident","orig.ident",0.0437062937062937
"7","CNP0000460_P06T",0,0.2,"specimen_orig_ident","orig.ident",0
"8","CNP0000460_P06T",1,0.2,"specimen_orig_ident","orig.ident",0.00367647058823529
"9","CNP0000460_P06T",2,0.2,"specimen_orig_ident","orig.ident",0.00909090909090909
"0","CNP0000460_P07N",2,0.2,"specimen_orig_ident","orig.ident",0.00034922297887201
"1","CNP0000460_P07N",0,0.2,"specimen_orig_ident","orig.ident",0
"2","CNP0000460_P07N",2,0.2,"specimen_orig_ident","orig.ident",0.000834376303712975
"3","CNP0000460_P07N",0,0.2,"specimen_orig_ident","orig.ident",0
"4","CNP0000460_P07N",0,0.2,"specimen_orig_ident","orig.ident",0
"5","CNP0000460_P07N",0,0.2,"specimen_orig_ident","orig.ident",0
"6","CNP0000460_P07N",1,0.2,"specimen_orig_ident","orig.ident",0.00174825174825175
"7","CNP0000460_P07N",17,0.2,"specimen_orig_ident","orig.ident",0.0376106194690266
"8","CNP0000460_P07N",1,0.2,"specimen_orig_ident","orig.ident",0.00367647058823529
"9","CNP0000460_P07N",0,0.2,"specimen_orig_ident","orig.ident",0
"0","CNP0000460_P07T",22,0.2,"specimen_orig_ident","orig.ident",0.00384145276759211
"1","CNP0000460_P07T",63,0.2,"specimen_orig_ident","orig.ident",0.0175340940718063
"2","CNP0000460_P07T",107,0.2,"specimen_orig_ident","orig.ident",0.0446391322486441
"3","CNP0000460_P07T",0,0.2,"specimen_orig_ident","orig.ident",0
"4","CNP0000460_P07T",13,0.2,"specimen_orig_ident","orig.ident",0.0103585657370518
"5","CNP0000460_P07T",7,0.2,"specimen_orig_ident","orig.ident",0.0078740157480315
"6","CNP0000460_P07T",25,0.2,"specimen_orig_ident","orig.ident",0.0437062937062937
"7","CNP0000460_P07T",0,0.2,"specimen_orig_ident","orig.ident",0
"8","CNP0000460_P07T",1,0.2,"specimen_orig_ident","orig.ident",0.00367647058823529
"9","CNP0000460_P07T",6,0.2,"specimen_orig_ident","orig.ident",0.0272727272727273
"0","GSE326225_BC1",0,0.2,"specimen_orig_ident","orig.ident",0
"1","GSE326225_BC1",1,0.2,"specimen_orig_ident","orig.ident",0.000278318953520735
"2","GSE326225_BC1",7,0.2,"specimen_orig_ident","orig.ident",0.00292031706299541
"3","GSE326225_BC1",0,0.2,"specimen_orig_ident","orig.ident",0
"4","GSE326225_BC1",0,0.2,"specimen_orig_ident","orig.ident",0
"5","GSE326225_BC1",6,0.2,"specimen_orig_ident","orig.ident",0.00674915635545557
"6","GSE326225_BC1",4,0.2,"specimen_orig_ident","orig.ident",0.00699300699300699
"7","GSE326225_BC1",0,0.2,"specimen_orig_ident","orig.ident",0
"8","GSE326225_BC1",14,0.2,"specimen_orig_ident","orig.ident",0.0514705882352941
"9","GSE326225_BC1",1,0.2,"specimen_orig_ident","orig.ident",0.00454545454545455
"0","GSE326225_BC2",0,0.2,"specimen_orig_ident","orig.ident",0
"1","GSE326225_BC2",4,0.2,"specimen_orig_ident","orig.ident",0.00111327581408294
"2","GSE326225_BC2",4,0.2,"specimen_orig_ident","orig.ident",0.00166875260742595
"3","GSE326225_BC2",0,0.2,"specimen_orig_ident","orig.ident",0
"4","GSE326225_BC2",0,0.2,"specimen_orig_ident","orig.ident",0
"5","GSE326225_BC2",0,0.2,"specimen_orig_ident","orig.ident",0
"6","GSE326225_BC2",3,0.2,"specimen_orig_ident","orig.ident",0.00524475524475524
"7","GSE326225_BC2",0,0.2,"specimen_orig_ident","orig.ident",0
"8","GSE326225_BC2",0,0.2,"specimen_orig_ident","orig.ident",0
"9","GSE326225_BC2",0,0.2,"specimen_orig_ident","orig.ident",0
"0","GSE326225_BC3",0,0.2,"specimen_orig_ident","orig.ident",0
"1","GSE326225_BC3",7,0.2,"specimen_orig_ident","orig.ident",0.00194823267464514
"2","GSE326225_BC3",4,0.2,"specimen_orig_ident","orig.ident",0.00166875260742595
"3","GSE326225_BC3",0,0.2,"specimen_orig_ident","orig.ident",0
"4","GSE326225_BC3",1,0.2,"specimen_orig_ident","orig.ident",0.000796812749003984
"5","GSE326225_BC3",0,0.2,"specimen_orig_ident","orig.ident",0
"6","GSE326225_BC3",1,0.2,"specimen_orig_ident","orig.ident",0.00174825174825175
"7","GSE326225_BC3",0,0.2,"specimen_orig_ident","orig.ident",0
"8","GSE326225_BC3",1,0.2,"specimen_orig_ident","orig.ident",0.00367647058823529
"9","GSE326225_BC3",3,0.2,"specimen_orig_ident","orig.ident",0.0136363636363636
"0","GSE326225_BC4",0,0.2,"specimen_orig_ident","orig.ident",0
"1","GSE326225_BC4",2,0.2,"specimen_orig_ident","orig.ident",0.00055663790704147
"2","GSE326225_BC4",1,0.2,"specimen_orig_ident","orig.ident",0.000417188151856487
"3","GSE326225_BC4",0,0.2,"specimen_orig_ident","orig.ident",0
"4","GSE326225_BC4",0,0.2,"specimen_orig_ident","orig.ident",0
"5","GSE326225_BC4",4,0.2,"specimen_orig_ident","orig.ident",0.00449943757030371
"6","GSE326225_BC4",0,0.2,"specimen_orig_ident","orig.ident",0
"7","GSE326225_BC4",0,0.2,"specimen_orig_ident","orig.ident",0
"8","GSE326225_BC4",0,0.2,"specimen_orig_ident","orig.ident",0
"9","GSE326225_BC4",3,0.2,"specimen_orig_ident","orig.ident",0.0136363636363636
"0","GSE326225_BC5",0,0.2,"specimen_orig_ident","orig.ident",0
"1","GSE326225_BC5",0,0.2,"specimen_orig_ident","orig.ident",0
"2","GSE326225_BC5",0,0.2,"specimen_orig_ident","orig.ident",0
"3","GSE326225_BC5",0,0.2,"specimen_orig_ident","orig.ident",0
"4","GSE326225_BC5",0,0.2,"specimen_orig_ident","orig.ident",0
"5","GSE326225_BC5",0,0.2,"specimen_orig_ident","orig.ident",0
"6","GSE326225_BC5",0,0.2,"specimen_orig_ident","orig.ident",0
"7","GSE326225_BC5",0,0.2,"specimen_orig_ident","orig.ident",0
"8","GSE326225_BC5",1,0.2,"specimen_orig_ident","orig.ident",0.00367647058823529
"9","GSE326225_BC5",0,0.2,"specimen_orig_ident","orig.ident",0
"0","GSE326225_BC6",3,0.2,"specimen_orig_ident","orig.ident",0.000523834468308015
"1","GSE326225_BC6",45,0.2,"specimen_orig_ident","orig.ident",0.0125243529084331
"2","GSE326225_BC6",47,0.2,"specimen_orig_ident","orig.ident",0.0196078431372549
"3","GSE326225_BC6",11,0.2,"specimen_orig_ident","orig.ident",0.00661853188929001
"4","GSE326225_BC6",23,0.2,"specimen_orig_ident","orig.ident",0.0183266932270916
"5","GSE326225_BC6",8,0.2,"specimen_orig_ident","orig.ident",0.00899887514060742
"6","GSE326225_BC6",2,0.2,"specimen_orig_ident","orig.ident",0.0034965034965035
"7","GSE326225_BC6",0,0.2,"specimen_orig_ident","orig.ident",0
"8","GSE326225_BC6",1,0.2,"specimen_orig_ident","orig.ident",0.00367647058823529
"9","GSE326225_BC6",3,0.2,"specimen_orig_ident","orig.ident",0.0136363636363636
"0","GSE326225_BC7",27,0.2,"specimen_orig_ident","orig.ident",0.00471451021477213
"1","GSE326225_BC7",37,0.2,"specimen_orig_ident","orig.ident",0.0102978012802672
"2","GSE326225_BC7",64,0.2,"specimen_orig_ident","orig.ident",0.0267000417188152
"3","GSE326225_BC7",8,0.2,"specimen_orig_ident","orig.ident",0.00481347773766546
"4","GSE326225_BC7",25,0.2,"specimen_orig_ident","orig.ident",0.0199203187250996
"5","GSE326225_BC7",5,0.2,"specimen_orig_ident","orig.ident",0.00562429696287964
"6","GSE326225_BC7",0,0.2,"specimen_orig_ident","orig.ident",0
"7","GSE326225_BC7",0,0.2,"specimen_orig_ident","orig.ident",0
"8","GSE326225_BC7",0,0.2,"specimen_orig_ident","orig.ident",0
"9","GSE326225_BC7",0,0.2,"specimen_orig_ident","orig.ident",0
"0","GSE326225_BC8",0,0.2,"specimen_orig_ident","orig.ident",0
"1","GSE326225_BC8",2,0.2,"specimen_orig_ident","orig.ident",0.00055663790704147
"2","GSE326225_BC8",2,0.2,"specimen_orig_ident","orig.ident",0.000834376303712975
"3","GSE326225_BC8",0,0.2,"specimen_orig_ident","orig.ident",0
"4","GSE326225_BC8",0,0.2,"specimen_orig_ident","orig.ident",0
"5","GSE326225_BC8",0,0.2,"specimen_orig_ident","orig.ident",0
"6","GSE326225_BC8",0,0.2,"specimen_orig_ident","orig.ident",0
"7","GSE326225_BC8",0,0.2,"specimen_orig_ident","orig.ident",0
"8","GSE326225_BC8",0,0.2,"specimen_orig_ident","orig.ident",0
"9","GSE326225_BC8",0,0.2,"specimen_orig_ident","orig.ident",0
"0","HRA003620_BC-01",0,0.2,"specimen_orig_ident","orig.ident",0
"1","HRA003620_BC-01",0,0.2,"specimen_orig_ident","orig.ident",0
"2","HRA003620_BC-01",0,0.2,"specimen_orig_ident","orig.ident",0
"3","HRA003620_BC-01",0,0.2,"specimen_orig_ident","orig.ident",0
"4","HRA003620_BC-01",0,0.2,"specimen_orig_ident","orig.ident",0
"5","HRA003620_BC-01",0,0.2,"specimen_orig_ident","orig.ident",0
"6","HRA003620_BC-01",0,0.2,"specimen_orig_ident","orig.ident",0
"7","HRA003620_BC-01",5,0.2,"specimen_orig_ident","orig.ident",0.0110619469026549
"8","HRA003620_BC-01",0,0.2,"specimen_orig_ident","orig.ident",0
"9","HRA003620_BC-01",0,0.2,"specimen_orig_ident","orig.ident",0
"0","HRA003620_BC-04",16,0.2,"specimen_orig_ident","orig.ident",0.00279378383097608
"1","HRA003620_BC-04",5,0.2,"specimen_orig_ident","orig.ident",0.00139159476760367
"2","HRA003620_BC-04",1,0.2,"specimen_orig_ident","orig.ident",0.000417188151856487
"3","HRA003620_BC-04",0,0.2,"specimen_orig_ident","orig.ident",0
"4","HRA003620_BC-04",9,0.2,"specimen_orig_ident","orig.ident",0.00717131474103586
"5","HRA003620_BC-04",0,0.2,"specimen_orig_ident","orig.ident",0
"6","HRA003620_BC-04",1,0.2,"specimen_orig_ident","orig.ident",0.00174825174825175
"7","HRA003620_BC-04",3,0.2,"specimen_orig_ident","orig.ident",0.00663716814159292
"8","HRA003620_BC-04",0,0.2,"specimen_orig_ident","orig.ident",0
"9","HRA003620_BC-04",1,0.2,"specimen_orig_ident","orig.ident",0.00454545454545455
"0","HRA003620_BC-05",1,0.2,"specimen_orig_ident","orig.ident",0.000174611489436005
"1","HRA003620_BC-05",0,0.2,"specimen_orig_ident","orig.ident",0
"2","HRA003620_BC-05",1,0.2,"specimen_orig_ident","orig.ident",0.000417188151856487
"3","HRA003620_BC-05",0,0.2,"specimen_orig_ident","orig.ident",0
"4","HRA003620_BC-05",0,0.2,"specimen_orig_ident","orig.ident",0
"5","HRA003620_BC-05",1,0.2,"specimen_orig_ident","orig.ident",0.00112485939257593
"6","HRA003620_BC-05",0,0.2,"specimen_orig_ident","orig.ident",0
"7","HRA003620_BC-05",0,0.2,"specimen_orig_ident","orig.ident",0
"8","HRA003620_BC-05",0,0.2,"specimen_orig_ident","orig.ident",0
"9","HRA003620_BC-05",0,0.2,"specimen_orig_ident","orig.ident",0
"0","HRA003620_BC-11",2,0.2,"specimen_orig_ident","orig.ident",0.00034922297887201
"1","HRA003620_BC-11",2,0.2,"specimen_orig_ident","orig.ident",0.00055663790704147
"2","HRA003620_BC-11",0,0.2,"specimen_orig_ident","orig.ident",0
"3","HRA003620_BC-11",0,0.2,"specimen_orig_ident","orig.ident",0
"4","HRA003620_BC-11",0,0.2,"specimen_orig_ident","orig.ident",0
"5","HRA003620_BC-11",0,0.2,"specimen_orig_ident","orig.ident",0
"6","HRA003620_BC-11",0,0.2,"specimen_orig_ident","orig.ident",0
