"cluster","dataset","n_cells","cluster_dataset_fraction","lineage_wide_dataset_fraction","enrichment","high_enrichment_low_count_flag","audit_threshold"
"0","InhouseData",0,0,0.130993602910969,0,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"1","InhouseData",0,0,0.130993602910969,0,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"2","InhouseData",9,0.00583279325988334,0.130993602910969,0.0445273137791901,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"3","InhouseData",0,0,0.130993602910969,0,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"4","InhouseData",67,0.0465277777777778,0.130993602910969,0.355191221127041,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"5","InhouseData",1221,0.991876523151909,0.130993602910969,7.57194627149882,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"6","InhouseData",15,0.0127118644067797,0.130993602910969,0.0970418716967378,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"7","InhouseData",1,0.000870322019147084,0.130993602910969,0.00664400398039748,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"8","InhouseData",36,0.0330275229357798,0.130993602910969,0.252130807931341,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"9","InhouseData",118,0.132584269662921,0.130993602910969,1.01214308726994,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"10","InhouseData",41,0.0484633569739953,0.130993602910969,0.369967356397807,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"11","InhouseData",93,0.162587412587413,0.130993602910969,1.2411858974359,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"12","InhouseData",110,0.243362831858407,0.130993602910969,1.85782226345672,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"13","InhouseData",425,0.97926267281106,0.130993602910969,7.47565263531705,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"14","InhouseData",53,0.188612099644128,0.130993602910969,1.43985733236393,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"15","InhouseData",14,0.0619469026548673,0.130993602910969,0.472900212516256,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"16","InhouseData",8,0.0509554140127389,0.130993602910969,0.388991621578431,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"17","InhouseData",8,0.0567375886524823,0.130993602910969,0.433132514807189,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"18","InhouseData",0,0,0.130993602910969,0,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"19","InhouseData",13,0.119266055045872,0.130993602910969,0.910472361974286,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"0","PRJNA662018",1787,0.959720730397422,0.75033746111861,1.27905213337831,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"1","PRJNA662018",1658,0.903050108932462,0.75033746111861,1.20352528792336,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"2","PRJNA662018",1371,0.888528839922229,0.75033746111861,1.18417230374931,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"3","PRJNA662018",1294,0.869039623908664,0.75033746111861,1.15819836932184,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"4","PRJNA662018",1121,0.778472222222222,0.75033746111861,1.03749614348412,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"5","PRJNA662018",0,0,0.75033746111861,0,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"6","PRJNA662018",972,0.823728813559322,0.75033746111861,1.09781112665133,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"7","PRJNA662018",1116,0.971279373368146,0.75033746111861,1.29445672607117,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"8","PRJNA662018",869,0.797247706422018,0.75033746111861,1.0625188634904,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"9","PRJNA662018",650,0.730337078651685,0.75033746111861,0.973344816828007,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"10","PRJNA662018",674,0.796690307328605,0.75033746111861,1.06177599894971,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"11","PRJNA662018",303,0.52972027972028,0.75033746111861,0.705976053668662,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"12","PRJNA662018",193,0.426991150442478,0.75033746111861,0.569065483956932,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"13","PRJNA662018",0,0,0.75033746111861,0,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"14","PRJNA662018",177,0.629893238434164,0.75033746111861,0.839479928797788,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"15","PRJNA662018",190,0.84070796460177,0.75033746111861,1.1204398129722,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"16","PRJNA662018",119,0.75796178343949,0.75033746111861,1.01016119108529,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"17","PRJNA662018",118,0.836879432624113,0.75033746111861,1.1153373994902,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"18","PRJNA662018",102,0.918918918918919,0.75033746111861,1.22467418533121,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"19","PRJNA662018",71,0.651376146788991,0.75033746111861,0.868110924140603,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
