"cluster","group","n_cells","resolution","field","within_cluster_fraction"
"11","GSE326225_BC1",2,0.4,"orig.ident",0.00384615384615385
"12","GSE326225_BC1",1,0.4,"orig.ident",0.00222222222222222
"13","GSE326225_BC1",0,0.4,"orig.ident",0
"0","GSE326225_BC2",0,0.4,"orig.ident",0
"1","GSE326225_BC2",6,0.4,"orig.ident",0.000648368273179166
"2","GSE326225_BC2",0,0.4,"orig.ident",0
"3","GSE326225_BC2",0,0.4,"orig.ident",0
"4","GSE326225_BC2",0,0.4,"orig.ident",0
"5","GSE326225_BC2",0,0.4,"orig.ident",0
"6","GSE326225_BC2",0,0.4,"orig.ident",0
"7","GSE326225_BC2",0,0.4,"orig.ident",0
"8","GSE326225_BC2",3,0.4,"orig.ident",0.00318471337579618
"9","GSE326225_BC2",0,0.4,"orig.ident",0
"10","GSE326225_BC2",0,0.4,"orig.ident",0
"11","GSE326225_BC2",0,0.4,"orig.ident",0
"12","GSE326225_BC2",0,0.4,"orig.ident",0
"13","GSE326225_BC2",0,0.4,"orig.ident",0
"0","GSE326225_BC3",2,0.4,"orig.ident",0.000208441896821261
"1","GSE326225_BC3",78,0.4,"orig.ident",0.00842878755132915
"2","GSE326225_BC3",2,0.4,"orig.ident",0.000617665225447807
"3","GSE326225_BC3",15,0.4,"orig.ident",0.00471698113207547
"4","GSE326225_BC3",0,0.4,"orig.ident",0
"5","GSE326225_BC3",3,0.4,"orig.ident",0.00139664804469274
"6","GSE326225_BC3",4,0.4,"orig.ident",0.00287150035893754
"7","GSE326225_BC3",3,0.4,"orig.ident",0.0030241935483871
"8","GSE326225_BC3",17,0.4,"orig.ident",0.0180467091295117
"9","GSE326225_BC3",6,0.4,"orig.ident",0.00713436385255648
"10","GSE326225_BC3",2,0.4,"orig.ident",0.00264550264550265
"11","GSE326225_BC3",3,0.4,"orig.ident",0.00576923076923077
"12","GSE326225_BC3",1,0.4,"orig.ident",0.00222222222222222
"13","GSE326225_BC3",0,0.4,"orig.ident",0
"0","GSE326225_BC4",15,0.4,"orig.ident",0.00156331422615946
"1","GSE326225_BC4",111,0.4,"orig.ident",0.0119948130538146
"2","GSE326225_BC4",9,0.4,"orig.ident",0.00277949351451513
"3","GSE326225_BC4",7,0.4,"orig.ident",0.00220125786163522
"4","GSE326225_BC4",15,0.4,"orig.ident",0.00605326876513317
