"cluster","group","n_cells","resolution","role","field","within_cluster_fraction"
"7","CNP0000460_P05T",5,0.2,"specimen_orig_ident","orig.ident",0.0060459492140266
"8","CNP0000460_P05T",4,0.2,"specimen_orig_ident","orig.ident",0.00524246395806029
"9","CNP0000460_P05T",3,0.2,"specimen_orig_ident","orig.ident",0.00666666666666667
"0","CNP0000460_P06T",108,0.2,"specimen_orig_ident","orig.ident",0.00697584291435215
"1","CNP0000460_P06T",391,0.2,"specimen_orig_ident","orig.ident",0.0333760136577038
"2","CNP0000460_P06T",100,0.2,"specimen_orig_ident","orig.ident",0.0254258835494533
"3","CNP0000460_P06T",77,0.2,"specimen_orig_ident","orig.ident",0.0288497564630948
"4","CNP0000460_P06T",0,0.2,"specimen_orig_ident","orig.ident",0
"5","CNP0000460_P06T",60,0.2,"specimen_orig_ident","orig.ident",0.0338218714768884
"6","CNP0000460_P06T",59,0.2,"specimen_orig_ident","orig.ident",0.0587064676616915
"7","CNP0000460_P06T",76,0.2,"specimen_orig_ident","orig.ident",0.0918984280532043
"8","CNP0000460_P06T",29,0.2,"specimen_orig_ident","orig.ident",0.0380078636959371
"9","CNP0000460_P06T",7,0.2,"specimen_orig_ident","orig.ident",0.0155555555555556
"0","CNP0000460_P07N",561,0.2,"specimen_orig_ident","orig.ident",0.0362356284717737
"1","CNP0000460_P07N",160,0.2,"specimen_orig_ident","orig.ident",0.0136577037985489
"2","CNP0000460_P07N",105,0.2,"specimen_orig_ident","orig.ident",0.026697177726926
"3","CNP0000460_P07N",28,0.2,"specimen_orig_ident","orig.ident",0.0104908205320345
"4","CNP0000460_P07N",0,0.2,"specimen_orig_ident","orig.ident",0
"5","CNP0000460_P07N",38,0.2,"specimen_orig_ident","orig.ident",0.0214205186020293
"6","CNP0000460_P07N",5,0.2,"specimen_orig_ident","orig.ident",0.00497512437810945
"7","CNP0000460_P07N",1,0.2,"specimen_orig_ident","orig.ident",0.00120918984280532
"8","CNP0000460_P07N",12,0.2,"specimen_orig_ident","orig.ident",0.0157273918741809
"9","CNP0000460_P07N",6,0.2,"specimen_orig_ident","orig.ident",0.0133333333333333
"0","CNP0000460_P07T",99,0.2,"specimen_orig_ident","orig.ident",0.00639452267148947
"1","CNP0000460_P07T",149,0.2,"specimen_orig_ident","orig.ident",0.0127187366623986
"2","CNP0000460_P07T",51,0.2,"specimen_orig_ident","orig.ident",0.0129672006102212
"3","CNP0000460_P07T",6,0.2,"specimen_orig_ident","orig.ident",0.00224803297115024
"4","CNP0000460_P07T",0,0.2,"specimen_orig_ident","orig.ident",0
"5","CNP0000460_P07T",18,0.2,"specimen_orig_ident","orig.ident",0.0101465614430665
"6","CNP0000460_P07T",8,0.2,"specimen_orig_ident","orig.ident",0.00796019900497512
"7","CNP0000460_P07T",8,0.2,"specimen_orig_ident","orig.ident",0.00967351874244256
"8","CNP0000460_P07T",5,0.2,"specimen_orig_ident","orig.ident",0.00655307994757536
"9","CNP0000460_P07T",9,0.2,"specimen_orig_ident","orig.ident",0.02
"0","GSE326225_BC1",19,0.2,"specimen_orig_ident","orig.ident",0.00122723162382121
"1","GSE326225_BC1",19,0.2,"specimen_orig_ident","orig.ident",0.00162185232607768
"2","GSE326225_BC1",2,0.2,"specimen_orig_ident","orig.ident",0.000508517670989067
"3","GSE326225_BC1",21,0.2,"specimen_orig_ident","orig.ident",0.00786811539902585
"4","GSE326225_BC1",0,0.2,"specimen_orig_ident","orig.ident",0
"5","GSE326225_BC1",83,0.2,"specimen_orig_ident","orig.ident",0.0467869222096956
"6","GSE326225_BC1",0,0.2,"specimen_orig_ident","orig.ident",0
"7","GSE326225_BC1",12,0.2,"specimen_orig_ident","orig.ident",0.0145102781136638
"8","GSE326225_BC1",2,0.2,"specimen_orig_ident","orig.ident",0.00262123197903014
"9","GSE326225_BC1",2,0.2,"specimen_orig_ident","orig.ident",0.00444444444444444
"0","GSE326225_BC2",0,0.2,"specimen_orig_ident","orig.ident",0
"1","GSE326225_BC2",9,0.2,"specimen_orig_ident","orig.ident",0.000768245838668374
"2","GSE326225_BC2",0,0.2,"specimen_orig_ident","orig.ident",0
"3","GSE326225_BC2",0,0.2,"specimen_orig_ident","orig.ident",0
"4","GSE326225_BC2",0,0.2,"specimen_orig_ident","orig.ident",0
"5","GSE326225_BC2",4,0.2,"specimen_orig_ident","orig.ident",0.00225479143179256
"6","GSE326225_BC2",0,0.2,"specimen_orig_ident","orig.ident",0
"7","GSE326225_BC2",0,0.2,"specimen_orig_ident","orig.ident",0
"8","GSE326225_BC2",0,0.2,"specimen_orig_ident","orig.ident",0
"9","GSE326225_BC2",0,0.2,"specimen_orig_ident","orig.ident",0
"0","GSE326225_BC3",8,0.2,"specimen_orig_ident","orig.ident",0.000516729104766826
"1","GSE326225_BC3",97,0.2,"specimen_orig_ident","orig.ident",0.00827998292787025
"2","GSE326225_BC3",17,0.2,"specimen_orig_ident","orig.ident",0.00432240020340707
"3","GSE326225_BC3",0,0.2,"specimen_orig_ident","orig.ident",0
"4","GSE326225_BC3",2,0.2,"specimen_orig_ident","orig.ident",0.00112676056338028
"5","GSE326225_BC3",18,0.2,"specimen_orig_ident","orig.ident",0.0101465614430665
"6","GSE326225_BC3",3,0.2,"specimen_orig_ident","orig.ident",0.00298507462686567
"7","GSE326225_BC3",6,0.2,"specimen_orig_ident","orig.ident",0.00725513905683192
"8","GSE326225_BC3",2,0.2,"specimen_orig_ident","orig.ident",0.00262123197903014
"9","GSE326225_BC3",1,0.2,"specimen_orig_ident","orig.ident",0.00222222222222222
"0","GSE326225_BC4",63,0.2,"specimen_orig_ident","orig.ident",0.00406924170003875
"1","GSE326225_BC4",148,0.2,"specimen_orig_ident","orig.ident",0.0126333760136577
"2","GSE326225_BC4",8,0.2,"specimen_orig_ident","orig.ident",0.00203407068395627
"3","GSE326225_BC4",64,0.2,"specimen_orig_ident","orig.ident",0.0239790183589359
"4","GSE326225_BC4",0,0.2,"specimen_orig_ident","orig.ident",0
"5","GSE326225_BC4",37,0.2,"specimen_orig_ident","orig.ident",0.0208568207440812
"6","GSE326225_BC4",3,0.2,"specimen_orig_ident","orig.ident",0.00298507462686567
"7","GSE326225_BC4",10,0.2,"specimen_orig_ident","orig.ident",0.0120918984280532
"8","GSE326225_BC4",1,0.2,"specimen_orig_ident","orig.ident",0.00131061598951507
"9","GSE326225_BC4",5,0.2,"specimen_orig_ident","orig.ident",0.0111111111111111
"0","GSE326225_BC5",5,0.2,"specimen_orig_ident","orig.ident",0.000322955690479266
"1","GSE326225_BC5",31,0.2,"specimen_orig_ident","orig.ident",0.00264618011096884
"2","GSE326225_BC5",0,0.2,"specimen_orig_ident","orig.ident",0
"3","GSE326225_BC5",16,0.2,"specimen_orig_ident","orig.ident",0.00599475458973398
"4","GSE326225_BC5",0,0.2,"specimen_orig_ident","orig.ident",0
"5","GSE326225_BC5",17,0.2,"specimen_orig_ident","orig.ident",0.00958286358511838
"6","GSE326225_BC5",0,0.2,"specimen_orig_ident","orig.ident",0
"7","GSE326225_BC5",16,0.2,"specimen_orig_ident","orig.ident",0.0193470374848851
"8","GSE326225_BC5",0,0.2,"specimen_orig_ident","orig.ident",0
"9","GSE326225_BC5",0,0.2,"specimen_orig_ident","orig.ident",0
"0","GSE326225_BC6",165,0.2,"specimen_orig_ident","orig.ident",0.0106575377858158
"1","GSE326225_BC6",242,0.2,"specimen_orig_ident","orig.ident",0.0206572769953052
"2","GSE326225_BC6",48,0.2,"specimen_orig_ident","orig.ident",0.0122044241037376
"3","GSE326225_BC6",18,0.2,"specimen_orig_ident","orig.ident",0.00674409891345073
"4","GSE326225_BC6",13,0.2,"specimen_orig_ident","orig.ident",0.00732394366197183
"5","GSE326225_BC6",14,0.2,"specimen_orig_ident","orig.ident",0.00789177001127396
"6","GSE326225_BC6",16,0.2,"specimen_orig_ident","orig.ident",0.0159203980099502
"7","GSE326225_BC6",8,0.2,"specimen_orig_ident","orig.ident",0.00967351874244256
"8","GSE326225_BC6",10,0.2,"specimen_orig_ident","orig.ident",0.0131061598951507
"9","GSE326225_BC6",5,0.2,"specimen_orig_ident","orig.ident",0.0111111111111111
"0","GSE326225_BC7",16,0.2,"specimen_orig_ident","orig.ident",0.00103345820953365
"1","GSE326225_BC7",28,0.2,"specimen_orig_ident","orig.ident",0.00239009816474605
"2","GSE326225_BC7",9,0.2,"specimen_orig_ident","orig.ident",0.0022883295194508
"3","GSE326225_BC7",3,0.2,"specimen_orig_ident","orig.ident",0.00112401648557512
