"cluster","group","n_cells","resolution","field","within_cluster_fraction"
"3","GSE326225_BC1",6,0.2,"orig.ident",0.000530973451327434
"4","GSE326225_BC1",4,0.2,"orig.ident",0.000359938810402232
"5","GSE326225_BC1",0,0.2,"orig.ident",0
"6","GSE326225_BC1",0,0.2,"orig.ident",0
"7","GSE326225_BC1",0,0.2,"orig.ident",0
"singleton","GSE326225_BC1",0,0.2,"orig.ident",0
"0","GSE326225_BC2",9,0.2,"orig.ident",0.000221027038974435
"1","GSE326225_BC2",0,0.2,"orig.ident",0
"2","GSE326225_BC2",9,0.2,"orig.ident",0.000520652551197501
"3","GSE326225_BC2",12,0.2,"orig.ident",0.00106194690265487
"4","GSE326225_BC2",2,0.2,"orig.ident",0.000179969405201116
"5","GSE326225_BC2",0,0.2,"orig.ident",0
"6","GSE326225_BC2",0,0.2,"orig.ident",0
"7","GSE326225_BC2",0,0.2,"orig.ident",0
"singleton","GSE326225_BC2",0,0.2,"orig.ident",0
"0","GSE326225_BC3",95,0.2,"orig.ident",0.00233306318917459
"1","GSE326225_BC3",8,0.2,"orig.ident",0.000306936771025169
"2","GSE326225_BC3",13,0.2,"orig.ident",0.000752053685063057
"3","GSE326225_BC3",13,0.2,"orig.ident",0.00115044247787611
"4","GSE326225_BC3",26,0.2,"orig.ident",0.00233960226761451
"5","GSE326225_BC3",0,0.2,"orig.ident",0
"6","GSE326225_BC3",3,0.2,"orig.ident",0.000507872016251904
"7","GSE326225_BC3",0,0.2,"orig.ident",0
"singleton","GSE326225_BC3",0,0.2,"orig.ident",0
"0","GSE326225_BC4",690,0.2,"orig.ident",0.0169454063213733
"1","GSE326225_BC4",0,0.2,"orig.ident",0
"2","GSE326225_BC4",1450,0.2,"orig.ident",0.083882911026264
"3","GSE326225_BC4",213,0.2,"orig.ident",0.0188495575221239
"4","GSE326225_BC4",347,0.2,"orig.ident",0.0312246918023936
"5","GSE326225_BC4",1,0.2,"orig.ident",0.000108318890814558
"6","GSE326225_BC4",99,0.2,"orig.ident",0.0167597765363128
"7","GSE326225_BC4",0,0.2,"orig.ident",0
"singleton","GSE326225_BC4",0,0.2,"orig.ident",0
"0","GSE326225_BC5",1,0.2,"orig.ident",2.45585598860483e-05
"1","GSE326225_BC5",0,0.2,"orig.ident",0
"2","GSE326225_BC5",1,0.2,"orig.ident",5.7850283466389e-05
"3","GSE326225_BC5",1,0.2,"orig.ident",8.84955752212389e-05
"4","GSE326225_BC5",0,0.2,"orig.ident",0
"5","GSE326225_BC5",0,0.2,"orig.ident",0
"6","GSE326225_BC5",0,0.2,"orig.ident",0
"7","GSE326225_BC5",0,0.2,"orig.ident",0
"singleton","GSE326225_BC5",0,0.2,"orig.ident",0
"0","GSE326225_BC6",216,0.2,"orig.ident",0.00530464893538643
"1","GSE326225_BC6",0,0.2,"orig.ident",0
"2","GSE326225_BC6",95,0.2,"orig.ident",0.00549577692930695
"3","GSE326225_BC6",43,0.2,"orig.ident",0.00380530973451327
"4","GSE326225_BC6",124,0.2,"orig.ident",0.0111581031224692
"5","GSE326225_BC6",2,0.2,"orig.ident",0.000216637781629116
"6","GSE326225_BC6",32,0.2,"orig.ident",0.00541730150668698
"7","GSE326225_BC6",0,0.2,"orig.ident",0
"singleton","GSE326225_BC6",0,0.2,"orig.ident",0
"0","GSE326225_BC7",194,0.2,"orig.ident",0.00476436061789337
"1","GSE326225_BC7",0,0.2,"orig.ident",0
"2","GSE326225_BC7",41,0.2,"orig.ident",0.00237186162212195
"3","GSE326225_BC7",13,0.2,"orig.ident",0.00115044247787611
"4","GSE326225_BC7",7,0.2,"orig.ident",0.000629892918203905
"5","GSE326225_BC7",0,0.2,"orig.ident",0
"6","GSE326225_BC7",0,0.2,"orig.ident",0
"7","GSE326225_BC7",0,0.2,"orig.ident",0
"singleton","GSE326225_BC7",0,0.2,"orig.ident",0
"0","GSE326225_BC8",302,0.2,"orig.ident",0.00741668508558658
"1","GSE326225_BC8",2,0.2,"orig.ident",7.67341927562922e-05
"2","GSE326225_BC8",54,0.2,"orig.ident",0.00312391530718501
"3","GSE326225_BC8",54,0.2,"orig.ident",0.0047787610619469
"4","GSE326225_BC8",41,0.2,"orig.ident",0.00368937280662287
"5","GSE326225_BC8",0,0.2,"orig.ident",0
"6","GSE326225_BC8",10,0.2,"orig.ident",0.00169290672083968
"7","GSE326225_BC8",0,0.2,"orig.ident",0
"singleton","GSE326225_BC8",0,0.2,"orig.ident",0
"0","HRA003620_BC-01",2286,0.2,"orig.ident",0.0561408678995064
"1","HRA003620_BC-01",0,0.2,"orig.ident",0
"2","HRA003620_BC-01",1635,0.2,"orig.ident",0.094585213467546
"3","HRA003620_BC-01",357,0.2,"orig.ident",0.0315929203539823
"4","HRA003620_BC-01",1024,0.2,"orig.ident",0.0921443354629713
"5","HRA003620_BC-01",0,0.2,"orig.ident",0
"6","HRA003620_BC-01",469,0.2,"orig.ident",0.0793973252073811
"7","HRA003620_BC-01",0,0.2,"orig.ident",0
"singleton","HRA003620_BC-01",0,0.2,"orig.ident",0
"0","HRA003620_BC-04",61,0.2,"orig.ident",0.00149807215304895
"1","HRA003620_BC-04",0,0.2,"orig.ident",0
"2","HRA003620_BC-04",12,0.2,"orig.ident",0.000694203401596668
"3","HRA003620_BC-04",32,0.2,"orig.ident",0.00283185840707965
"4","HRA003620_BC-04",27,0.2,"orig.ident",0.00242958697021506
"5","HRA003620_BC-04",0,0.2,"orig.ident",0
"6","HRA003620_BC-04",14,0.2,"orig.ident",0.00237006940917555
"7","HRA003620_BC-04",0,0.2,"orig.ident",0
"singleton","HRA003620_BC-04",0,0.2,"orig.ident",0
"0","HRA003620_BC-05",836,0.2,"orig.ident",0.0205309560647364
"1","HRA003620_BC-05",0,0.2,"orig.ident",0
"2","HRA003620_BC-05",820,0.2,"orig.ident",0.047437232442439
"3","HRA003620_BC-05",172,0.2,"orig.ident",0.0152212389380531
"4","HRA003620_BC-05",425,0.2,"orig.ident",0.0382434986052371
"5","HRA003620_BC-05",0,0.2,"orig.ident",0
"6","HRA003620_BC-05",149,0.2,"orig.ident",0.0252243101405113
"7","HRA003620_BC-05",0,0.2,"orig.ident",0
"singleton","HRA003620_BC-05",0,0.2,"orig.ident",0
"0","HRA003620_BC-11",1133,0.2,"orig.ident",0.0278248483508927
"1","HRA003620_BC-11",0,0.2,"orig.ident",0
"2","HRA003620_BC-11",3566,0.2,"orig.ident",0.206294110841143
"3","HRA003620_BC-11",256,0.2,"orig.ident",0.0226548672566372
"4","HRA003620_BC-11",813,0.2,"orig.ident",0.0731575632142536
"5","HRA003620_BC-11",0,0.2,"orig.ident",0
"6","HRA003620_BC-11",588,0.2,"orig.ident",0.0995429151853733
"7","HRA003620_BC-11",0,0.2,"orig.ident",0
"singleton","HRA003620_BC-11",0,0.2,"orig.ident",0
"0","HRA003620_BC-24",1855,0.2,"orig.ident",0.0455561285886196
"1","HRA003620_BC-24",0,0.2,"orig.ident",0
"2","HRA003620_BC-24",1357,0.2,"orig.ident",0.0785028346638899
"3","HRA003620_BC-24",376,0.2,"orig.ident",0.0332743362831858
"4","HRA003620_BC-24",62,0.2,"orig.ident",0.00557905156123459
"5","HRA003620_BC-24",0,0.2,"orig.ident",0
"6","HRA003620_BC-24",159,0.2,"orig.ident",0.0269172168613509
"7","HRA003620_BC-24",0,0.2,"orig.ident",0
"singleton","HRA003620_BC-24",0,0.2,"orig.ident",0
"0","HRA003620_BC-27",1136,0.2,"orig.ident",0.0278985240305508
"1","HRA003620_BC-27",0,0.2,"orig.ident",0
"2","HRA003620_BC-27",529,0.2,"orig.ident",0.0306027999537198
"3","HRA003620_BC-27",206,0.2,"orig.ident",0.0182300884955752
"4","HRA003620_BC-27",364,0.2,"orig.ident",0.0327544317466031
"5","HRA003620_BC-27",0,0.2,"orig.ident",0
"6","HRA003620_BC-27",309,0.2,"orig.ident",0.0523108176739462
"7","HRA003620_BC-27",0,0.2,"orig.ident",0
"singleton","HRA003620_BC-27",1,0.2,"orig.ident",1
"0","HRA003620_BC-30",2062,0.2,"orig.ident",0.0506397504850316
"1","HRA003620_BC-30",0,0.2,"orig.ident",0
"2","HRA003620_BC-30",1261,0.2,"orig.ident",0.0729492074511165
"3","HRA003620_BC-30",384,0.2,"orig.ident",0.0339823008849558
"4","HRA003620_BC-30",352,0.2,"orig.ident",0.0316746153153964
"5","HRA003620_BC-30",0,0.2,"orig.ident",0
"6","HRA003620_BC-30",385,0.2,"orig.ident",0.0651769087523277
"7","HRA003620_BC-30",0,0.2,"orig.ident",0
"singleton","HRA003620_BC-30",0,0.2,"orig.ident",0
"0","HRA003620_NC-01",343,0.2,"orig.ident",0.00842358604091456
"1","HRA003620_NC-01",0,0.2,"orig.ident",0
"2","HRA003620_NC-01",81,0.2,"orig.ident",0.00468587296077751
"3","HRA003620_NC-01",127,0.2,"orig.ident",0.0112389380530973
"4","HRA003620_NC-01",73,0.2,"orig.ident",0.00656888328984073
"5","HRA003620_NC-01",0,0.2,"orig.ident",0
"6","HRA003620_NC-01",39,0.2,"orig.ident",0.00660233621127476
"7","HRA003620_NC-01",0,0.2,"orig.ident",0
"singleton","HRA003620_NC-01",0,0.2,"orig.ident",0
"0","HRA003620_NC-04",231,0.2,"orig.ident",0.00567302733367715
"1","HRA003620_NC-04",0,0.2,"orig.ident",0
"2","HRA003620_NC-04",18,0.2,"orig.ident",0.001041305102395
"3","HRA003620_NC-04",65,0.2,"orig.ident",0.00575221238938053
"4","HRA003620_NC-04",16,0.2,"orig.ident",0.00143975524160893
"5","HRA003620_NC-04",0,0.2,"orig.ident",0
"6","HRA003620_NC-04",60,0.2,"orig.ident",0.0101574403250381
"7","HRA003620_NC-04",0,0.2,"orig.ident",0
"singleton","HRA003620_NC-04",0,0.2,"orig.ident",0
"0","HRA003620_NC-05",923,0.2,"orig.ident",0.0226675507748226
"1","HRA003620_NC-05",0,0.2,"orig.ident",0
"2","HRA003620_NC-05",456,0.2,"orig.ident",0.0263797292606734
"3","HRA003620_NC-05",180,0.2,"orig.ident",0.015929203539823
"4","HRA003620_NC-05",429,0.2,"orig.ident",0.0386034374156393
"5","HRA003620_NC-05",0,0.2,"orig.ident",0
"6","HRA003620_NC-05",210,0.2,"orig.ident",0.0355510411376333
"7","HRA003620_NC-05",0,0.2,"orig.ident",0
"singleton","HRA003620_NC-05",0,0.2,"orig.ident",0
"0","HRA003620_NC-11",1188,0.2,"orig.ident",0.0291755691446254
"1","HRA003620_NC-11",0,0.2,"orig.ident",0
"2","HRA003620_NC-11",641,0.2,"orig.ident",0.0370820317019553
"3","HRA003620_NC-11",649,0.2,"orig.ident",0.0574336283185841
"4","HRA003620_NC-11",316,0.2,"orig.ident",0.0284351660217763
"5","HRA003620_NC-11",0,0.2,"orig.ident",0
"6","HRA003620_NC-11",836,0.2,"orig.ident",0.141527001862197
"7","HRA003620_NC-11",0,0.2,"orig.ident",0
"singleton","HRA003620_NC-11",0,0.2,"orig.ident",0
"0","HRA003620_NC-24",1210,0.2,"orig.ident",0.0297158574621184
"1","HRA003620_NC-24",0,0.2,"orig.ident",0
"2","HRA003620_NC-24",218,0.2,"orig.ident",0.0126113617956728
"3","HRA003620_NC-24",50,0.2,"orig.ident",0.00442477876106195
"4","HRA003620_NC-24",8,0.2,"orig.ident",0.000719877620804463
"5","HRA003620_NC-24",0,0.2,"orig.ident",0
"6","HRA003620_NC-24",8,0.2,"orig.ident",0.00135432537667175
"7","HRA003620_NC-24",0,0.2,"orig.ident",0
"singleton","HRA003620_NC-24",0,0.2,"orig.ident",0
"0","HRA003620_NC-27",2554,0.2,"orig.ident",0.0627225619489673
"1","HRA003620_NC-27",0,0.2,"orig.ident",0
"2","HRA003620_NC-27",268,0.2,"orig.ident",0.0155038759689922
"3","HRA003620_NC-27",254,0.2,"orig.ident",0.0224778761061947
"4","HRA003620_NC-27",26,0.2,"orig.ident",0.00233960226761451
"5","HRA003620_NC-27",0,0.2,"orig.ident",0
"6","HRA003620_NC-27",35,0.2,"orig.ident",0.00592517352293889
"7","HRA003620_NC-27",0,0.2,"orig.ident",0
"singleton","HRA003620_NC-27",0,0.2,"orig.ident",0
"0","HRA003620_NC-30",2475,0.2,"orig.ident",0.0607824357179695
"1","HRA003620_NC-30",0,0.2,"orig.ident",0
"2","HRA003620_NC-30",106,0.2,"orig.ident",0.00613213004743723
"3","HRA003620_NC-30",372,0.2,"orig.ident",0.0329203539823009
"4","HRA003620_NC-30",428,0.2,"orig.ident",0.0385134527130388
"5","HRA003620_NC-30",0,0.2,"orig.ident",0
"6","HRA003620_NC-30",264,0.2,"orig.ident",0.0446927374301676
"7","HRA003620_NC-30",0,0.2,"orig.ident",0
"singleton","HRA003620_NC-30",0,0.2,"orig.ident",0
"0","PRJNA662018_PRJNA662018_P1N1",1020,0.2,"orig.ident",0.0250497310837692
"1","PRJNA662018_PRJNA662018_P1N1",0,0.2,"orig.ident",0
"2","PRJNA662018_PRJNA662018_P1N1",71,0.2,"orig.ident",0.00410737012611362
"3","PRJNA662018_PRJNA662018_P1N1",182,0.2,"orig.ident",0.0161061946902655
"4","PRJNA662018_PRJNA662018_P1N1",210,0.2,"orig.ident",0.0188967875461172
"5","PRJNA662018_PRJNA662018_P1N1",0,0.2,"orig.ident",0
"6","PRJNA662018_PRJNA662018_P1N1",101,0.2,"orig.ident",0.0170983578804808
"7","PRJNA662018_PRJNA662018_P1N1",0,0.2,"orig.ident",0
"singleton","PRJNA662018_PRJNA662018_P1N1",0,0.2,"orig.ident",0
"0","PRJNA662018_PRJNA662018_P1T1",1850,0.2,"orig.ident",0.0454333357891893
"1","PRJNA662018_PRJNA662018_P1T1",0,0.2,"orig.ident",0
"2","PRJNA662018_PRJNA662018_P1T1",268,0.2,"orig.ident",0.0155038759689922
"3","PRJNA662018_PRJNA662018_P1T1",340,0.2,"orig.ident",0.0300884955752212
"4","PRJNA662018_PRJNA662018_P1T1",262,0.2,"orig.ident",0.0235759920813462
"5","PRJNA662018_PRJNA662018_P1T1",0,0.2,"orig.ident",0
"6","PRJNA662018_PRJNA662018_P1T1",175,0.2,"orig.ident",0.0296258676146944
"7","PRJNA662018_PRJNA662018_P1T1",0,0.2,"orig.ident",0
"singleton","PRJNA662018_PRJNA662018_P1T1",0,0.2,"orig.ident",0
"0","PRJNA662018_PRJNA662018_P2T2",2045,0.2,"orig.ident",0.0502222549669687
"1","PRJNA662018_PRJNA662018_P2T2",0,0.2,"orig.ident",0
"2","PRJNA662018_PRJNA662018_P2T2",558,0.2,"orig.ident",0.0322804581742451
"3","PRJNA662018_PRJNA662018_P2T2",469,0.2,"orig.ident",0.0415044247787611
"4","PRJNA662018_PRJNA662018_P2T2",587,0.2,"orig.ident",0.0528210204265275
"5","PRJNA662018_PRJNA662018_P2T2",0,0.2,"orig.ident",0
"6","PRJNA662018_PRJNA662018_P2T2",233,0.2,"orig.ident",0.0394447265955646
"7","PRJNA662018_PRJNA662018_P2T2",0,0.2,"orig.ident",0
"singleton","PRJNA662018_PRJNA662018_P2T2",0,0.2,"orig.ident",0
"0","PRJNA662018_PRJNA662018_P3N3",1685,0.2,"orig.ident",0.0413811734079914
