"cluster","group","n_cells","resolution","role","field","within_cluster_fraction"
"0","HRA003620_BC-27",1184,0.2,"specimen_orig_ident","orig.ident",0.0286842551542021
"1","HRA003620_BC-27",0,0.2,"specimen_orig_ident","orig.ident",0
"2","HRA003620_BC-27",478,0.2,"specimen_orig_ident","orig.ident",0.028969696969697
"3","HRA003620_BC-27",202,0.2,"specimen_orig_ident","orig.ident",0.0182228236355435
"4","HRA003620_BC-27",311,0.2,"specimen_orig_ident","orig.ident",0.0303385035606282
"5","HRA003620_BC-27",0,0.2,"specimen_orig_ident","orig.ident",0
"6","HRA003620_BC-27",370,0.2,"specimen_orig_ident","orig.ident",0.0504362050163577
"0","HRA003620_BC-30",2090,0.2,"specimen_orig_ident","orig.ident",0.0506335247232115
"1","HRA003620_BC-30",0,0.2,"specimen_orig_ident","orig.ident",0
"2","HRA003620_BC-30",1198,0.2,"specimen_orig_ident","orig.ident",0.0726060606060606
"3","HRA003620_BC-30",363,0.2,"specimen_orig_ident","orig.ident",0.0327469553450609
"4","HRA003620_BC-30",320,0.2,"specimen_orig_ident","orig.ident",0.031216466686177
"5","HRA003620_BC-30",0,0.2,"specimen_orig_ident","orig.ident",0
"6","HRA003620_BC-30",473,0.2,"specimen_orig_ident","orig.ident",0.0644765539803708
"0","HRA003620_NC-01",338,0.2,"specimen_orig_ident","orig.ident",0.0081885795963854
"1","HRA003620_NC-01",0,0.2,"specimen_orig_ident","orig.ident",0
"2","HRA003620_NC-01",82,0.2,"specimen_orig_ident","orig.ident",0.00496969696969697
"3","HRA003620_NC-01",128,0.2,"specimen_orig_ident","orig.ident",0.0115471357690573
"4","HRA003620_NC-01",64,0.2,"specimen_orig_ident","orig.ident",0.00624329333723539
"5","HRA003620_NC-01",0,0.2,"specimen_orig_ident","orig.ident",0
"6","HRA003620_NC-01",51,0.2,"specimen_orig_ident","orig.ident",0.00695201744820065
"0","HRA003620_NC-04",225,0.2,"specimen_orig_ident","orig.ident",0.00545097754197253
"1","HRA003620_NC-04",0,0.2,"specimen_orig_ident","orig.ident",0
"2","HRA003620_NC-04",9,0.2,"specimen_orig_ident","orig.ident",0.000545454545454545
"3","HRA003620_NC-04",64,0.2,"specimen_orig_ident","orig.ident",0.00577356788452864
"4","HRA003620_NC-04",14,0.2,"specimen_orig_ident","orig.ident",0.00136572041752024
"5","HRA003620_NC-04",0,0.2,"specimen_orig_ident","orig.ident",0
"6","HRA003620_NC-04",78,0.2,"specimen_orig_ident","orig.ident",0.0106324972737186
"0","HRA003620_NC-05",906,0.2,"specimen_orig_ident","orig.ident",0.0219492695690094
"1","HRA003620_NC-05",0,0.2,"specimen_orig_ident","orig.ident",0
"2","HRA003620_NC-05",453,0.2,"specimen_orig_ident","orig.ident",0.0274545454545455
"3","HRA003620_NC-05",177,0.2,"specimen_orig_ident","orig.ident",0.0159675236806495
"4","HRA003620_NC-05",418,0.2,"specimen_orig_ident","orig.ident",0.0407765096088187
"5","HRA003620_NC-05",0,0.2,"specimen_orig_ident","orig.ident",0
"6","HRA003620_NC-05",244,0.2,"specimen_orig_ident","orig.ident",0.0332606324972737
"0","HRA003620_NC-11",1145,0.2,"specimen_orig_ident","orig.ident",0.0277394190469269
"1","HRA003620_NC-11",1,0.2,"specimen_orig_ident","orig.ident",3.44459371017189e-05
"2","HRA003620_NC-11",628,0.2,"specimen_orig_ident","orig.ident",0.0380606060606061
"3","HRA003620_NC-11",646,0.2,"specimen_orig_ident","orig.ident",0.058276950834461
"4","HRA003620_NC-11",305,0.2,"specimen_orig_ident","orig.ident",0.0297531948102624
"5","HRA003620_NC-11",0,0.2,"specimen_orig_ident","orig.ident",0
"6","HRA003620_NC-11",905,0.2,"specimen_orig_ident","orig.ident",0.123364231188659
"0","HRA003620_NC-24",1244,0.2,"specimen_orig_ident","orig.ident",0.0301378491653948
"1","HRA003620_NC-24",0,0.2,"specimen_orig_ident","orig.ident",0
"2","HRA003620_NC-24",173,0.2,"specimen_orig_ident","orig.ident",0.0104848484848485
"3","HRA003620_NC-24",48,0.2,"specimen_orig_ident","orig.ident",0.00433017591339648
"4","HRA003620_NC-24",1,0.2,"specimen_orig_ident","orig.ident",9.7551458394303e-05
"5","HRA003620_NC-24",0,0.2,"specimen_orig_ident","orig.ident",0
"6","HRA003620_NC-24",28,0.2,"specimen_orig_ident","orig.ident",0.00381679389312977
"0","HRA003620_NC-27",2627,0.2,"specimen_orig_ident","orig.ident",0.0636431911233859
"1","HRA003620_NC-27",0,0.2,"specimen_orig_ident","orig.ident",0
"2","HRA003620_NC-27",202,0.2,"specimen_orig_ident","orig.ident",0.0122424242424242
"3","HRA003620_NC-27",246,0.2,"specimen_orig_ident","orig.ident",0.022192151556157
"4","HRA003620_NC-27",21,0.2,"specimen_orig_ident","orig.ident",0.00204858062628036
"5","HRA003620_NC-27",0,0.2,"specimen_orig_ident","orig.ident",0
"6","HRA003620_NC-27",41,0.2,"specimen_orig_ident","orig.ident",0.00558887677208288
"0","HRA003620_NC-30",2480,0.2,"specimen_orig_ident","orig.ident",0.0600818857959639
"1","HRA003620_NC-30",0,0.2,"specimen_orig_ident","orig.ident",0
"2","HRA003620_NC-30",88,0.2,"specimen_orig_ident","orig.ident",0.00533333333333333
"3","HRA003620_NC-30",370,0.2,"specimen_orig_ident","orig.ident",0.0333784393324312
"4","HRA003620_NC-30",371,0.2,"specimen_orig_ident","orig.ident",0.0361915910642864
"5","HRA003620_NC-30",0,0.2,"specimen_orig_ident","orig.ident",0
"6","HRA003620_NC-30",336,0.2,"specimen_orig_ident","orig.ident",0.0458015267175573
"0","PRJNA662018_PRJNA662018_P1N1",1004,0.2,"specimen_orig_ident","orig.ident",0.0243234731206241
"1","PRJNA662018_PRJNA662018_P1N1",0,0.2,"specimen_orig_ident","orig.ident",0
"2","PRJNA662018_PRJNA662018_P1N1",67,0.2,"specimen_orig_ident","orig.ident",0.00406060606060606
"3","PRJNA662018_PRJNA662018_P1N1",180,0.2,"specimen_orig_ident","orig.ident",0.0162381596752368
"4","PRJNA662018_PRJNA662018_P1N1",193,0.2,"specimen_orig_ident","orig.ident",0.0188274314701005
"5","PRJNA662018_PRJNA662018_P1N1",0,0.2,"specimen_orig_ident","orig.ident",0
"6","PRJNA662018_PRJNA662018_P1N1",140,0.2,"specimen_orig_ident","orig.ident",0.0190839694656489
"0","PRJNA662018_PRJNA662018_P1T1",1855,0.2,"specimen_orig_ident","orig.ident",0.0449402815127068
"1","PRJNA662018_PRJNA662018_P1T1",0,0.2,"specimen_orig_ident","orig.ident",0
"2","PRJNA662018_PRJNA662018_P1T1",239,0.2,"specimen_orig_ident","orig.ident",0.0144848484848485
"3","PRJNA662018_PRJNA662018_P1T1",338,0.2,"specimen_orig_ident","orig.ident",0.0304916553901669
"4","PRJNA662018_PRJNA662018_P1T1",234,0.2,"specimen_orig_ident","orig.ident",0.0228270412642669
"5","PRJNA662018_PRJNA662018_P1T1",0,0.2,"specimen_orig_ident","orig.ident",0
"6","PRJNA662018_PRJNA662018_P1T1",229,0.2,"specimen_orig_ident","orig.ident",0.0312159214830971
"0","PRJNA662018_PRJNA662018_P2T2",2061,0.2,"specimen_orig_ident","orig.ident",0.0499309542844684
"1","PRJNA662018_PRJNA662018_P2T2",0,0.2,"specimen_orig_ident","orig.ident",0
"2","PRJNA662018_PRJNA662018_P2T2",532,0.2,"specimen_orig_ident","orig.ident",0.0322424242424242
"3","PRJNA662018_PRJNA662018_P2T2",439,0.2,"specimen_orig_ident","orig.ident",0.0396030672079387
"4","PRJNA662018_PRJNA662018_P2T2",566,0.2,"specimen_orig_ident","orig.ident",0.0552141254511755
"5","PRJNA662018_PRJNA662018_P2T2",0,0.2,"specimen_orig_ident","orig.ident",0
"6","PRJNA662018_PRJNA662018_P2T2",294,0.2,"specimen_orig_ident","orig.ident",0.0400763358778626
"0","PRJNA662018_PRJNA662018_P3N3",1701,0.2,"specimen_orig_ident","orig.ident",0.0412093902173123
"1","PRJNA662018_PRJNA662018_P3N3",0,0.2,"specimen_orig_ident","orig.ident",0
"2","PRJNA662018_PRJNA662018_P3N3",69,0.2,"specimen_orig_ident","orig.ident",0.00418181818181818
"3","PRJNA662018_PRJNA662018_P3N3",102,0.2,"specimen_orig_ident","orig.ident",0.00920162381596752
"4","PRJNA662018_PRJNA662018_P3N3",92,0.2,"specimen_orig_ident","orig.ident",0.00897473417227588
"5","PRJNA662018_PRJNA662018_P3N3",0,0.2,"specimen_orig_ident","orig.ident",0
"6","PRJNA662018_PRJNA662018_P3N3",134,0.2,"specimen_orig_ident","orig.ident",0.0182660850599782
"0","PRJNA662018_PRJNA662018_P3T3",972,0.2,"specimen_orig_ident","orig.ident",0.0235482229813213
"1","PRJNA662018_PRJNA662018_P3T3",0,0.2,"specimen_orig_ident","orig.ident",0
"2","PRJNA662018_PRJNA662018_P3T3",126,0.2,"specimen_orig_ident","orig.ident",0.00763636363636364
"3","PRJNA662018_PRJNA662018_P3T3",134,0.2,"specimen_orig_ident","orig.ident",0.0120884077582318
"4","PRJNA662018_PRJNA662018_P3T3",397,0.2,"specimen_orig_ident","orig.ident",0.0387279289825383
"5","PRJNA662018_PRJNA662018_P3T3",1,0.2,"specimen_orig_ident","orig.ident",0.000107921433196633
"6","PRJNA662018_PRJNA662018_P3T3",198,0.2,"specimen_orig_ident","orig.ident",0.026990185387132
"0","PRJNA662018_PRJNA662018_P4T4",912,0.2,"specimen_orig_ident","orig.ident",0.0220946289701286
