"cluster","group","n_cells","resolution","role","field","within_cluster_fraction"
"2","CNP0000460_P01N",7,0.2,"specimen_orig_ident","orig.ident",0.00221799746514575
"3","CNP0000460_P01N",50,0.2,"specimen_orig_ident","orig.ident",0.0160462130937099
"4","CNP0000460_P01N",12,0.2,"specimen_orig_ident","orig.ident",0.00551470588235294
"5","CNP0000460_P01N",65,0.2,"specimen_orig_ident","orig.ident",0.0626808100289296
"6","CNP0000460_P01N",17,0.2,"specimen_orig_ident","orig.ident",0.0166830225711482
"7","CNP0000460_P01N",4,0.2,"specimen_orig_ident","orig.ident",0.00583941605839416
"8","CNP0000460_P01N",0,0.2,"specimen_orig_ident","orig.ident",0
"9","CNP0000460_P01N",7,0.2,"specimen_orig_ident","orig.ident",0.0207715133531157
"10","CNP0000460_P01N",2,0.2,"specimen_orig_ident","orig.ident",0.00600600600600601
"11","CNP0000460_P01N",0,0.2,"specimen_orig_ident","orig.ident",0
"12","CNP0000460_P01N",1,0.2,"specimen_orig_ident","orig.ident",0.00483091787439614
"0","CNP0000460_P01T",0,0.2,"specimen_orig_ident","orig.ident",0
"1","CNP0000460_P01T",16,0.2,"specimen_orig_ident","orig.ident",0.0040271834885477
"2","CNP0000460_P01T",1,0.2,"specimen_orig_ident","orig.ident",0.000316856780735108
"3","CNP0000460_P01T",1,0.2,"specimen_orig_ident","orig.ident",0.000320924261874198
"4","CNP0000460_P01T",10,0.2,"specimen_orig_ident","orig.ident",0.00459558823529412
"5","CNP0000460_P01T",20,0.2,"specimen_orig_ident","orig.ident",0.0192864030858245
"6","CNP0000460_P01T",1,0.2,"specimen_orig_ident","orig.ident",0.00098135426889107
"7","CNP0000460_P01T",0,0.2,"specimen_orig_ident","orig.ident",0
"8","CNP0000460_P01T",0,0.2,"specimen_orig_ident","orig.ident",0
"9","CNP0000460_P01T",2,0.2,"specimen_orig_ident","orig.ident",0.00593471810089021
"10","CNP0000460_P01T",0,0.2,"specimen_orig_ident","orig.ident",0
"11","CNP0000460_P01T",2,0.2,"specimen_orig_ident","orig.ident",0.00823045267489712
"12","CNP0000460_P01T",0,0.2,"specimen_orig_ident","orig.ident",0
"0","CNP0000460_P02N",18,0.2,"specimen_orig_ident","orig.ident",0.00168523546484412
"1","CNP0000460_P02N",1,0.2,"specimen_orig_ident","orig.ident",0.000251698968034231
"2","CNP0000460_P02N",0,0.2,"specimen_orig_ident","orig.ident",0
"3","CNP0000460_P02N",7,0.2,"specimen_orig_ident","orig.ident",0.00224646983311938
"4","CNP0000460_P02N",5,0.2,"specimen_orig_ident","orig.ident",0.00229779411764706
"5","CNP0000460_P02N",1,0.2,"specimen_orig_ident","orig.ident",0.000964320154291225
"6","CNP0000460_P02N",5,0.2,"specimen_orig_ident","orig.ident",0.00490677134445535
"7","CNP0000460_P02N",0,0.2,"specimen_orig_ident","orig.ident",0
"8","CNP0000460_P02N",0,0.2,"specimen_orig_ident","orig.ident",0
"9","CNP0000460_P02N",4,0.2,"specimen_orig_ident","orig.ident",0.0118694362017804
"10","CNP0000460_P02N",1,0.2,"specimen_orig_ident","orig.ident",0.003003003003003
"11","CNP0000460_P02N",0,0.2,"specimen_orig_ident","orig.ident",0
"12","CNP0000460_P02N",0,0.2,"specimen_orig_ident","orig.ident",0
"0","CNP0000460_P02T",0,0.2,"specimen_orig_ident","orig.ident",0
"1","CNP0000460_P02T",25,0.2,"specimen_orig_ident","orig.ident",0.00629247420085578
"2","CNP0000460_P02T",4,0.2,"specimen_orig_ident","orig.ident",0.00126742712294043
"3","CNP0000460_P02T",38,0.2,"specimen_orig_ident","orig.ident",0.0121951219512195
"4","CNP0000460_P02T",20,0.2,"specimen_orig_ident","orig.ident",0.00919117647058824
"5","CNP0000460_P02T",15,0.2,"specimen_orig_ident","orig.ident",0.0144648023143684
"6","CNP0000460_P02T",9,0.2,"specimen_orig_ident","orig.ident",0.00883218842001963
"7","CNP0000460_P02T",1,0.2,"specimen_orig_ident","orig.ident",0.00145985401459854
"8","CNP0000460_P02T",0,0.2,"specimen_orig_ident","orig.ident",0
"9","CNP0000460_P02T",8,0.2,"specimen_orig_ident","orig.ident",0.0237388724035608
"10","CNP0000460_P02T",2,0.2,"specimen_orig_ident","orig.ident",0.00600600600600601
"11","CNP0000460_P02T",0,0.2,"specimen_orig_ident","orig.ident",0
"12","CNP0000460_P02T",0,0.2,"specimen_orig_ident","orig.ident",0
"0","CNP0000460_P03N",50,0.2,"specimen_orig_ident","orig.ident",0.00468120962456699
"1","CNP0000460_P03N",0,0.2,"specimen_orig_ident","orig.ident",0
"2","CNP0000460_P03N",2,0.2,"specimen_orig_ident","orig.ident",0.000633713561470215
"3","CNP0000460_P03N",36,0.2,"specimen_orig_ident","orig.ident",0.0115532734274711
"4","CNP0000460_P03N",6,0.2,"specimen_orig_ident","orig.ident",0.00275735294117647
"5","CNP0000460_P03N",7,0.2,"specimen_orig_ident","orig.ident",0.00675024108003857
"6","CNP0000460_P03N",2,0.2,"specimen_orig_ident","orig.ident",0.00196270853778214
"7","CNP0000460_P03N",2,0.2,"specimen_orig_ident","orig.ident",0.00291970802919708
"8","CNP0000460_P03N",0,0.2,"specimen_orig_ident","orig.ident",0
"9","CNP0000460_P03N",3,0.2,"specimen_orig_ident","orig.ident",0.00890207715133531
"10","CNP0000460_P03N",2,0.2,"specimen_orig_ident","orig.ident",0.00600600600600601
"11","CNP0000460_P03N",0,0.2,"specimen_orig_ident","orig.ident",0
"12","CNP0000460_P03N",0,0.2,"specimen_orig_ident","orig.ident",0
"0","CNP0000460_P03T",3,0.2,"specimen_orig_ident","orig.ident",0.000280872577474019
"1","CNP0000460_P03T",0,0.2,"specimen_orig_ident","orig.ident",0
"2","CNP0000460_P03T",1,0.2,"specimen_orig_ident","orig.ident",0.000316856780735108
"3","CNP0000460_P03T",3,0.2,"specimen_orig_ident","orig.ident",0.000962772785622593
"4","CNP0000460_P03T",1,0.2,"specimen_orig_ident","orig.ident",0.000459558823529412
"5","CNP0000460_P03T",0,0.2,"specimen_orig_ident","orig.ident",0
"6","CNP0000460_P03T",0,0.2,"specimen_orig_ident","orig.ident",0
"7","CNP0000460_P03T",1,0.2,"specimen_orig_ident","orig.ident",0.00145985401459854
"8","CNP0000460_P03T",0,0.2,"specimen_orig_ident","orig.ident",0
"9","CNP0000460_P03T",0,0.2,"specimen_orig_ident","orig.ident",0
