"round3_cluster","round4_cluster","n_cells","fraction_of_round3_cluster"
"20","5",1,0.00645161290322581
"0","6",13,0.00611189468735308
"2","6",1,0.000523012552301255
"3","6",2,0.00105876124933827
"4","6",10,0.00648508430609598
"5","6",33,0.0225255972696246
"6","6",821,0.749087591240876
"7","6",118,0.129955947136564
"8","6",6,0.00685714285714286
"9","6",4,0.00516129032258065
"12","6",1,0.00152439024390244
"14","6",6,0.0118577075098814
"15","6",4,0.00823045267489712
"16","6",8,0.0171673819742489
"17","6",115,0.412186379928315
"20","6",15,0.0967741935483871
"0","7",93,0.0437235543018336
"1","7",146,0.0763199163617355
"4","7",97,0.062905317769131
"5","7",35,0.0238907849829352
"7","7",26,0.0286343612334802
"8","7",20,0.0228571428571429
"9","7",634,0.818064516129032
"12","7",1,0.00152439024390244
"15","7",3,0.00617283950617284
"0","8",3,0.00141043723554302
"2","8",22,0.0115062761506276
"3","8",3,0.00158814187400741
"5","8",1,0.00068259385665529
"6","8",10,0.00912408759124088
"7","8",1,0.00110132158590308
"8","8",2,0.00228571428571429
"10","8",7,0.00919842312746386
"12","8",7,0.0106707317073171
"13","8",519,0.91858407079646
"14","8",24,0.0474308300395257
"15","8",14,0.0288065843621399
"16","8",340,0.729613733905579
"17","8",19,0.0681003584229391
"18","8",1,0.00416666666666667
"20","8",2,0.0129032258064516
"0","9",1,0.000470145745181006
"1","9",17,0.00888656560376372
"2","9",1,0.000523012552301255
"4","9",344,0.223086900129702
"5","9",23,0.0156996587030717
"6","9",3,0.00273722627737226
"7","9",1,0.00110132158590308
"8","9",3,0.00342857142857143
"9","9",4,0.00516129032258065
"14","9",3,0.00592885375494071
"15","9",406,0.835390946502058
"20","9",2,0.0129032258064516
"0","10",20,0.00940291490362012
"1","10",23,0.0120230005227392
"4","10",31,0.0201037613488975
"5","10",6,0.00409556313993174
"6","10",3,0.00273722627737226
"7","10",1,0.00110132158590308
"8","10",716,0.818285714285714
"9","10",1,0.00129032258064516
"15","10",2,0.00411522633744856
"3","11",7,0.00370566437268396
"4","11",1,0.000648508430609598
"10","11",665,0.873850197109067
"12","11",78,0.11890243902439
"14","11",1,0.00197628458498024
"16","11",20,0.0429184549356223
"17","11",7,0.025089605734767
"2","12",55,0.028765690376569
"3","12",4,0.00211752249867655
"4","12",1,0.000648508430609598
"6","12",6,0.00547445255474453
"9","12",5,0.00645161290322581
"10","12",40,0.0525624178712221
"12","12",460,0.701219512195122
"13","12",36,0.063716814159292
"14","12",3,0.00592885375494071
"15","12",2,0.00411522633744856
"16","12",25,0.0536480686695279
"17","12",5,0.017921146953405
"20","12",58,0.374193548387097
"0","13",12,0.00564174894217207
"1","13",38,0.0198640878201777
"5","13",73,0.0498293515358362
"6","13",52,0.0474452554744526
"7","13",510,0.561674008810573
"17","13",2,0.00716845878136201
"3","14",107,0.0566437268395977
"10","14",2,0.0026281208935611
"18","14",26,0.108333333333333
"3","15",72,0.0381154049761779
"6","15",143,0.130474452554745
"10","15",1,0.00131406044678055
"12","15",1,0.00152439024390244
"13","15",1,0.00176991150442478
"14","15",1,0.00197628458498024
"15","15",1,0.00205761316872428
"16","15",1,0.00214592274678112
"17","15",7,0.025089605734767
"20","15",12,0.0774193548387097
"6","16",2,0.00182481751824818
"10","16",2,0.0026281208935611
"17","16",23,0.0824372759856631
"18","16",212,0.883333333333333
"3","17",2,0.00105876124933827
"6","17",2,0.00182481751824818
"10","17",20,0.026281208935611
"12","17",2,0.00304878048780488
"16","17",30,0.0643776824034335
"17","17",87,0.311827956989247
"4","18",3,0.00194552529182879
"9","18",48,0.0619354838709677
"12","18",60,0.0914634146341463
"13","18",4,0.00707964601769911
"14","18",3,0.00592885375494071
"16","18",4,0.00858369098712446
